VIN (1-10),DOL Vehicle ID,Make,Model,Model Year
1G1FZ6S04K,272227651,CHEVROLET,BOLT EV,2019
5YJXCDE42G,476039553,TESLA,MODEL X,2016
KNDCE3LG2L,151365007,KIA,NIRO,2020
1N4AZ1CP8K,264369115,NISSAN,LEAF,2019
5YJ3E1EA3L,172537725,TESLA,MODEL 3,2020
JTMFB3FV9R,269792967,TOYOTA,RAV4 PRIME (PHEV),2024
JTMEB3FV5N,249956619,TOYOTA,RAV4 PRIME (PHEV),2022
1N4BZ0CPXH,132228624,NISSAN,LEAF,2017
5YJSA1CN8D,126426975,TESLA,MODEL S,2013
1N4AZ1CP1J,102664495,NISSAN,LEAF,2018
JN1AZ0CP4C,127036794,NISSAN,LEAF,2012
1G1FX6S05H,278113181,CHEVROLET,BOLT EV,2017
KNDRMDLH5P,264874438,KIA,SORENTO,2023
1N4AZ0CP7F,138211412,NISSAN,LEAF,2015
1G1FW6S07J,270962331,CHEVROLET,BOLT EV,2018
1N4AZ1CPXL,105033995,NISSAN,LEAF,2020
JTMAB3FV8M,205914698,TOYOTA,RAV4 PRIME (PHEV),2021
1G1FY6S0XK,2315645,CHEVROLET,BOLT EV,2019
KNDPYDDH5R,272695244,KIA,SPORTAGE,2024
1G1FW6S09H,251113271,CHEVROLET,BOLT EV,2017
JTJHKCFZ5S,281079165,LEXUS,NX,2025
5YJYGDEE6L,126070675,TESLA,MODEL Y,2020
3C3CFFGE6F,2364827,FIAT,500,2015
5YJ3E1EB9K,276365589,TESLA,MODEL 3,2019
5YJ3E1EA1J,347726956,TESLA,MODEL 3,2018
YV4H60DK1R,271037252,VOLVO,XC60,2024
5UXTA6C06P,228347108,BMW,X5,2023
5YJXCDE2XH,144597855,TESLA,MODEL X,2017
5YJSA1E2XJ,259004203,TESLA,MODEL S,2018
5UX43EU00R,251148747,BMW,X5,2024
5YJ3E1EB9L,128471073,TESLA,MODEL 3,2020
WBA13FK04S,278580074,BMW,550E,2025
5YJYGDEFXL,104622493,TESLA,MODEL Y,2020
1G1FY6S01L,144958775,CHEVROLET,BOLT EV,2020
KNDCS3LF3P,239956370,KIA,NIRO,2023
1N4AZ0CP7D,213772352,NISSAN,LEAF,2013
5YJXCBE2XL,228024590,TESLA,MODEL X,2020
1G1RA6S51J,248953778,CHEVROLET,VOLT,2018
KNDCC3LG4L,156704264,KIA,NIRO,2020
5YJ3E1EB8K,346280028,TESLA,MODEL 3,2019
5YJSA1E46J,335843455,TESLA,MODEL S,2018
ZACPDFCW7R,262513982,DODGE,HORNET,2024
1N4AZ0CP4F,109196671,NISSAN,LEAF,2015
5YJ3E1EB9J,475078117,TESLA,MODEL 3,2018
JTMFB3FV1R,264899575,TOYOTA,RAV4 PRIME (PHEV),2024
2C4RC1N74J,277816857,CHRYSLER,PACIFICA,2018
JHMZC5F34J,192604303,HONDA,CLARITY,2018
5UX43EU08S,273025560,BMW,X5,2025
3C3CFFGE0G,104078845,FIAT,500,2016
1N4AZ1CP7J,181169285,NISSAN,LEAF,2018
5UXTA6C06M,138109205,BMW,X5,2021
KNDRMDJH1S,278372853,KIA,SORENTO,2025
1G1RB6S50J,344017670,CHEVROLET,VOLT,2018
1N4AZ1BP9L,124678326,NISSAN,LEAF,2020
5YJYGDEE3L,277901298,TESLA,MODEL Y,2020
5YJ3E1EA9L,6421614,TESLA,MODEL 3,2020
5YJYGDEE6L,122419566,TESLA,MODEL Y,2020
5YJ3E1EA9J,261215062,TESLA,MODEL 3,2018
1N4AZ0CP5D,148762428,NISSAN,LEAF,2013
1G1FW6S02H,173875614,CHEVROLET,BOLT EV,2017
WBY1Z4C50F,148087376,BMW,I3,2015
1N4BZ0CP2G,238255818,NISSAN,LEAF,2016
JTJHKCFZ9S,271163385,LEXUS,NX,2025
5YJSA1E23H,322466924,TESLA,MODEL S,2017
5YJSA1E20L,133898852,TESLA,MODEL S,2020
1N4AZ1CP8J,262654150,NISSAN,LEAF,2018
KNDJP3AEXG,172611974,KIA,SOUL,2016
JA4T5WA93R,271808505,MITSUBISHI,OUTLANDER,2024
5YJ3E1EA4K,477420247,TESLA,MODEL 3,2019
JTMAB3FVXP,245218676,TOYOTA,RAV4 PRIME (PHEV),2023
1G1FY6S06L,145686558,CHEVROLET,BOLT EV,2020
JTMEB3FV5N,278738372,TOYOTA,RAV4 PRIME (PHEV),2022
KNDRMDLH0R,260982067,KIA,SORENTO,2024
1G1FX6S06H,171199234,CHEVROLET,BOLT EV,2017
5YJ3E1EB7L,108805007,TESLA,MODEL 3,2020
KNDPYDDH1R,276687624,KIA,SPORTAGE,2024
5YJXCAE41K,268036086,TESLA,MODEL X,2019
2T3YL4DV2D,191596912,TOYOTA,RAV4,2013
5UXTA6C00N,209867521,BMW,X5,2022
5YJXCBE20H,313076088,TESLA,MODEL X,2017
JTMFB3FV9M,190236175,TOYOTA,RAV4 PRIME (PHEV),2021
5YJSA1DP5D,226481041,TESLA,MODEL S,2013
KNDPZDDH7S,275154736,KIA,SPORTAGE,2025
KNDPZDDH3R,263026872,KIA,SPORTAGE,2024
5YJ3E1EB3J,475325630,TESLA,MODEL 3,2018
5YJXCAE27L,104320660,TESLA,MODEL X,2020
5YJ3E1EA3J,474928177,TESLA,MODEL 3,2018
5UX43EU05S,277923782,BMW,X5,2025
SALK19F49R,268387563,LAND ROVER,RANGE ROVER,2024
YV4H60JE1S,274130069,VOLVO,XC90,2025
5YJ3E1EB6J,119965653,TESLA,MODEL 3,2018
1N4BZ0CP1H,237078131,NISSAN,LEAF,2017
WBY7Z4C54J,312153663,BMW,I3,2018
KNDRMDLH8P,264430939,KIA,SORENTO,2023
5YJ3E1EB7L,104644417,TESLA,MODEL 3,2020
1N4AZ1CP8K,186948492,NISSAN,LEAF,2019
KNDRMDJH6S,278609831,KIA,SORENTO,2025
5YJSA1E26J,146897026,TESLA,MODEL S,2018
JTMAB3FV3P,235909348,TOYOTA,RAV4 PRIME (PHEV),2023
1N4AZ0CP7F,191731508,NISSAN,LEAF,2015
5YJSA1E45G,477081811,TESLA,MODEL S,2016
JN1AZ0CP6C,147916660,NISSAN,LEAF,2012
5YJ3E1EB4J,269523775,TESLA,MODEL 3,2018
5YJ3E1EB7K,228539538,TESLA,MODEL 3,2019
5YJSA1H15E,257337559,TESLA,MODEL S,2014
5UXTA6C00N,209362380,BMW,X5,2022
1N4BZ0CP6H,339792981,NISSAN,LEAF,2017
1G1RA6E42E,210323935,CHEVROLET,VOLT,2014
JN1AZ0CP1B,168395741,NISSAN,LEAF,2011
5YJ3E1EB4K,241495376,TESLA,MODEL 3,2019
WVWKR7AU5K,131378754,VOLKSWAGEN,E-GOLF,2019
5YJ3E1EB1K,476873127,TESLA,MODEL 3,2019
1N4AZ0CP6G,162484227,NISSAN,LEAF,2016
5YJYGDEE8L,187131122,TESLA,MODEL Y,2020
KNDPYDAH6P,244155488,KIA,SPORTAGE,2023
JA4T5UA98P,267103735,MITSUBISHI,OUTLANDER,2023
5YJSA1E13H,349013388,TESLA,MODEL S,2017
5YJYGDEEXL,131471686,TESLA,MODEL Y,2020
5YJSA1E23H,260720386,TESLA,MODEL S,2017
KNDJX3AE5G,318013804,KIA,SOUL,2016
5YJ3E1EA8J,279546515,TESLA,MODEL 3,2018
5YJ3E1EB7K,477867568,TESLA,MODEL 3,2019
5YJXCAE29H,211878607,TESLA,MODEL X,2017
5YJSA1CNXD,184475784,TESLA,MODEL S,2013
5YJSA1E25L,109350132,TESLA,MODEL S,2020
5YJXCAE40J,478155331,TESLA,MODEL X,2018
1G1FX6S01H,347781689,CHEVROLET,BOLT EV,2017
JHMZC5F33J,306787491,HONDA,CLARITY,2018
YV4H60DX0P,219012958,VOLVO,XC60,2023
1N4BZ0CPXG,476696867,NISSAN,LEAF,2016
WP1BN2AY5R,273829510,PORSCHE,CAYENNE,2024
3C3CFFGE0D,135097532,FIAT,500,2013
5YJ3E1EA6J,278895361,TESLA,MODEL 3,2018
5UX43EU08S,277660582,BMW,X5,2025
5YJ3E1EA7J,476539066,TESLA,MODEL 3,2018
1N4AZ0CPXE,113136768,NISSAN,LEAF,2014
5YJ3E1EB6L,4959482,TESLA,MODEL 3,2020
5YJXCBE26G,142259841,TESLA,MODEL X,2016
WDDVP9AB4F,214381450,MERCEDES-BENZ,B-CLASS,2015
5YJSA1CG8D,239510967,TESLA,MODEL S,2013
5UX43EU08R,260759523,BMW,X5,2024
5YJ3E1EB0K,293308753,TESLA,MODEL 3,2019
5YJSA1E20H,348945369,TESLA,MODEL S,2017
5UXTA6C04M,172199632,BMW,X5,2021
KM8S7DA28P,255284879,HYUNDAI,SANTA FE,2023
5YJSA1E20J,185249781,TESLA,MODEL S,2018
5YJSA1H18E,140398744,TESLA,MODEL S,2014
2C4RC1L75J,304262024,CHRYSLER,PACIFICA,2018
1G1FZ6S08L,142224813,CHEVROLET,BOLT EV,2020
1G1FY6S0XK,124737140,CHEVROLET,BOLT EV,2019
KNDRMDLH6R,260457466,KIA,SORENTO,2024
1N4AZ1CP9J,229759148,NISSAN,LEAF,2018
JTMFB3FV3S,278272795,TOYOTA,RAV4 PRIME (PHEV),2025
5YJ3E1EB1K,150427147,TESLA,MODEL 3,2019
1G1FX6S06H,133002369,CHEVROLET,BOLT EV,2017
5YJ3E1EA0J,106176878,TESLA,MODEL 3,2018
5YJ3E1EA9K,476908960,TESLA,MODEL 3,2019
1G1FX6S09H,125704974,CHEVROLET,BOLT EV,2017
5YJ3E1EB5K,476853786,TESLA,MODEL 3,2019
2C4RC1N7XK,185846902,CHRYSLER,PACIFICA,2019
5YJXCAE22L,104675819,TESLA,MODEL X,2020
1N4AZ0CP7E,210167520,NISSAN,LEAF,2014
5YJXCDE23K,342582082,TESLA,MODEL X,2019
1G1FX6S02J,281236924,CHEVROLET,BOLT EV,2018
W1NKM5GB1S,272733863,MERCEDES-BENZ,GLC-CLASS,2025
1N4AZ0CP8F,195510906,NISSAN,LEAF,2015
1N4AZ0CPXF,241527821,NISSAN,LEAF,2015
1G1FX6S08H,178977382,CHEVROLET,BOLT EV,2017
5YJ3E1EA0J,121108942,TESLA,MODEL 3,2018
KL8CL6S00F,476299155,CHEVROLET,SPARK,2015
1N4AZ0CP5E,9227746,NISSAN,LEAF,2014
5YJ3E1EB5L,8270538,TESLA,MODEL 3,2020
KNDPYDAH5P,251394734,KIA,SPORTAGE,2023
WP1AA2XA9R,273937429,PORSCHE,MACAN,2024
1FMCU0KZ6N,227247457,FORD,ESCAPE,2022
5UXTA6C06P,227115297,BMW,X5,2023
1N4AZ0CP2D,160252809,NISSAN,LEAF,2013
1N4BZ0CP8H,196361546,NISSAN,LEAF,2017
KNDPYDDH3R,267661159,KIA,SPORTAGE,2024
2C4RC1N77H,212966925,CHRYSLER,PACIFICA,2017
JTDACACUXR,272519775,TOYOTA,PRIUS PRIME (PHEV),2024
1G1FY6S05L,123025766,CHEVROLET,BOLT EV,2020
5YJXCBE48G,221399580,TESLA,MODEL X,2016
JTDACACU2R,260798667,TOYOTA,PRIUS PRIME (PHEV),2024
5YJXCBE29G,122468202,TESLA,MODEL X,2016
5YJ3E1EB1L,2109187,TESLA,MODEL 3,2020
5UX43EU02R,245161500,BMW,X5,2024
3C3CFFGE3K,236366854,FIAT,500,2019
YV4H60DP6P,224349051,VOLVO,XC60,2023
1N4BZ0CP2G,172216460,NISSAN,LEAF,2016
1N4AZ0CP5G,101037674,NISSAN,LEAF,2016
5YJ3E1EB7K,332183400,TESLA,MODEL 3,2019
5YJ3E1EA9J,264786658,TESLA,MODEL 3,2018
5YJSA1E1XF,265808924,TESLA,MODEL S,2015
KNDJP3AE0G,220226989,KIA,SOUL,2016
YV4H60PE4S,275695745,VOLVO,XC90,2025
KNDPYDDHXR,268650385,KIA,SPORTAGE,2024
5YJ3E1EB5J,194129127,TESLA,MODEL 3,2018
JTJHKCFZ5R,259014542,LEXUS,NX,2024
5YJ3E1EAXK,148950819,TESLA,MODEL 3,2019
5YJ3E1EB6J,152156021,TESLA,MODEL 3,2018
5YJSA1E26J,279240587,TESLA,MODEL S,2018
1G1FZ6S07L,8655104,CHEVROLET,BOLT EV,2020
KM8K33AG8K,226076665,HYUNDAI,KONA,2019
5UXTA6C01N,185587384,BMW,X5,2022
5YJ3E1EB5J,243954469,TESLA,MODEL 3,2018
KNDCC3LG6K,478492920,KIA,NIRO,2019
1N4AZ0CP6F,106779123,NISSAN,LEAF,2015
5YJSA1E21K,333362291,TESLA,MODEL S,2019
5YJSA1CN7D,112597124,TESLA,MODEL S,2013
5UXTA6C08M,137478232,BMW,X5,2021
JTMAB3FV2R,273629989,TOYOTA,RAV4 PRIME (PHEV),2024
1G1FY6S08L,276103306,CHEVROLET,BOLT EV,2020
