VIN (1-10),DOL Vehicle ID,Make,Model,Model Year
5YJYGDEEXL,121781950,TESLA,MODEL Y,2020
3C3CFFGE1G,180778377,FIAT,500,2016
5YJXCAE29L,1843054,TESLA,MODEL X,2020
5YJ3E1EB6L,182822020,TESLA,MODEL 3,2020
1G1FY6S07L,132558002,CHEVROLET,BOLT EV,2020
1G1RD6S55K,474853417,CHEVROLET,VOLT,2019
WA1VABGE7K,252912397,AUDI,E-TRON,2019
1N4AZ0CP1D,245254355,NISSAN,LEAF,2013
WBY1Z6C37H,282181980,BMW,I3,2017
5YJ3E1EA2J,178546133,TESLA,MODEL 3,2018
5YJ3E1EA6L,102657789,TESLA,MODEL 3,2020
5YJ3E1EA4J,474888991,TESLA,MODEL 3,2018
1N4AZ0CP4D,181560599,NISSAN,LEAF,2013
1G1RD6E42E,187081191,CHEVROLET,VOLT,2014
5YJ3E1EB6J,475060603,TESLA,MODEL 3,2018
1N4AZ0CP0D,211771696,NISSAN,LEAF,2013
5YJ3E1EB2L,274036927,TESLA,MODEL 3,2020
2C4RC1N72L,107651001,CHRYSLER,PACIFICA,2020
7JRH60FW2P,275696725,VOLVO,S60,2023
5YJSA1E25K,214922046,TESLA,MODEL S,2019
5YJSA1E18G,477474546,TESLA,MODEL S,2016
5YJSA1E29J,211037095,TESLA,MODEL S,2018
1N4BZ0CP6G,348134671,NISSAN,LEAF,2016
3C3CFFGE0G,194169839,FIAT,500,2016
KNDPZDDH8R,261672442,KIA,SPORTAGE,2024
5YJSA1E22K,202233958,TESLA,MODEL S,2019
5YJSA1E20G,128793731,TESLA,MODEL S,2016
1N4AZ0CP8D,221203671,NISSAN,LEAF,2013
5YJ3E1EB0L,103028922,TESLA,MODEL 3,2020
5YJ3E1EB0L,103695413,TESLA,MODEL 3,2020
JN1AZ0CP2C,120570271,NISSAN,LEAF,2012
1G1RA6S50J,476774427,CHEVROLET,VOLT,2018
KNDRMDLH1P,255215635,KIA,SORENTO,2023
WBY8P4C56K,276395647,BMW,I3,2019
LPSED3KA6M,186968694,POLESTAR,PS2,2021
5UXTA6C07N,196269524,BMW,X5,2022
5YJXCAE28G,281450914,TESLA,MODEL X,2016
1N4AZ0CP6F,148012406,NISSAN,LEAF,2015
5YJSA1E29F,166232902,TESLA,MODEL S,2015
1N4BZ1CP6K,4742531,NISSAN,LEAF,2019
5YJ3E1EB1L,8013113,TESLA,MODEL 3,2020
5YJ3E1EB1J,124514484,TESLA,MODEL 3,2018
5YJ3E1EAXJ,138452401,TESLA,MODEL 3,2018
1N4AZ0CPXD,5617937,NISSAN,LEAF,2013
5YJSA1DP4D,161861780,TESLA,MODEL S,2013
5YJSA1E24L,5013942,TESLA,MODEL S,2020
5YJ3E1EA0K,477457774,TESLA,MODEL 3,2019
5YJ3E1EB9J,282291271,TESLA,MODEL 3,2018
1N4AZ0CPXF,6578344,NISSAN,LEAF,2015
1N4BZ1CP8L,132265206,NISSAN,LEAF,2020
5YJ3E1EA3L,131375107,TESLA,MODEL 3,2020
5YJ3E1EB4L,207237152,TESLA,MODEL 3,2020
5YJ3E1EA4K,256929564,TESLA,MODEL 3,2019
YV4H60DA9P,227282975,VOLVO,XC60,2023
WBY1Z2C55E,195380398,BMW,I3,2014
5YJYGDEF8L,202885203,TESLA,MODEL Y,2020
5YJXCAE24L,229526286,TESLA,MODEL X,2020
5UX43EU00S,278302720,BMW,X5,2025
5YJ3E1EA1J,223841481,TESLA,MODEL 3,2018
1N4AZ0CP7F,227593782,NISSAN,LEAF,2015
5YJXCBE23K,211414066,TESLA,MODEL X,2019
5YJ3E1EBXK,149025411,TESLA,MODEL 3,2019
5YJ3E1EA4K,148566358,TESLA,MODEL 3,2019
3C3CFFGE8F,160344117,FIAT,500,2015
1N4AZ0CP1D,114489623,NISSAN,LEAF,2013
LPSED3KA0M,278520224,POLESTAR,PS2,2021
WBY1Z6C34H,132827726,BMW,I3,2017
1G1FY6S08K,251184825,CHEVROLET,BOLT EV,2019
1N4AZ1CP9J,267463584,NISSAN,LEAF,2018
2C4RC1N75N,190458684,CHRYSLER,PACIFICA,2022
KNDCC3LG7K,107241774,KIA,NIRO,2019
5YJ3E1EB6K,280431476,TESLA,MODEL 3,2019
5YJXCBE25G,127155192,TESLA,MODEL X,2016
1G1RC6E45F,157715015,CHEVROLET,VOLT,2015
1G1FW6S09J,251061443,CHEVROLET,BOLT EV,2018
1G1FX6S01H,214494213,CHEVROLET,BOLT EV,2017
1N4AZ0CP9E,234207676,NISSAN,LEAF,2014
5YJ3E1EB2K,216750145,TESLA,MODEL 3,2019
1G1RB6E4XF,160637802,CHEVROLET,VOLT,2015
1N4AZ1CP4J,283991711,NISSAN,LEAF,2018
JA4T5VA96P,260993743,MITSUBISHI,OUTLANDER,2023
5YJ3E1EAXJ,276402563,TESLA,MODEL 3,2018
3C3CFFGE3F,169153505,FIAT,500,2015
5UXTA6C05M,148671757,BMW,X5,2021
5YJ3E1EB2L,4908578,TESLA,MODEL 3,2020
5YJYGDEE9L,124477874,TESLA,MODEL Y,2020
5YJ3E1EAXK,194426431,TESLA,MODEL 3,2019
1G1RE6E42D,280052097,CHEVROLET,VOLT,2013
1N4AZ0CP4E,185011858,NISSAN,LEAF,2014
5YJ3E1EA5J,141232801,TESLA,MODEL 3,2018
1N4AZ0CP2F,102928297,NISSAN,LEAF,2015
2C4RC1N7XP,260445552,CHRYSLER,PACIFICA,2023
5YJXCDE47J,476799907,TESLA,MODEL X,2018
5YJSA1E24L,124528799,TESLA,MODEL S,2020
5YJ3E1EA4J,257825683,TESLA,MODEL 3,2018
1N4BZ0CP9G,104750698,NISSAN,LEAF,2016
2C4RC1L70P,260442206,CHRYSLER,PACIFICA,2023
1N4AZ0CP3D,229870406,NISSAN,LEAF,2013
5YJSA1H17E,220028189,TESLA,MODEL S,2014
3C3CFFGE3H,103172268,FIAT,500,2017
1N4AZ1CP1L,251258822,NISSAN,LEAF,2020
WMWXP3C08M,109994475,MINI,HARDTOP,2021
KNDCE3LGXL,153791158,KIA,NIRO,2020
1G1FY6S01L,149489812,CHEVROLET,BOLT EV,2020
1G1RD6E4XC,6688692,CHEVROLET,VOLT,2012
1G1FW6S03H,112467344,CHEVROLET,BOLT EV,2017
5YJ3E1EB4J,183206110,TESLA,MODEL 3,2018
5YJ3E1EA2J,103432934,TESLA,MODEL 3,2018
5YJ3E1EB2J,474894892,TESLA,MODEL 3,2018
WBY1Z8C3XH,154247495,BMW,I3,2017
5YJSA1E2XJ,128948011,TESLA,MODEL S,2018
5YJYGDEE4L,268253492,TESLA,MODEL Y,2020
KM8JFDD29R,263129996,HYUNDAI,TUCSON,2024
5YJSA1E23G,253765585,TESLA,MODEL S,2016
1N4AZ0CP0F,124092398,NISSAN,LEAF,2015
5YJ3E1EA5K,249968232,TESLA,MODEL 3,2019
5YJ3E1EB0J,475808014,TESLA,MODEL 3,2018
5YJSA1E24L,112766930,TESLA,MODEL S,2020
5YJ3E1EB5J,259400039,TESLA,MODEL 3,2018
1N4AZ1CP0J,124741382,NISSAN,LEAF,2018
YV4H60RM9S,277786505,VOLVO,XC60,2025
1N4AZ1CPXK,259974949,NISSAN,LEAF,2019
KNDCC3LG2K,103045680,KIA,NIRO,2019
1N4BZ1CP4K,8046349,NISSAN,LEAF,2019
JN1AZ0CP9C,121231764,NISSAN,LEAF,2012
5YJ3E1EA5J,138136155,TESLA,MODEL 3,2018
5YJXCBE21H,141886783,TESLA,MODEL X,2017
WVWKR7AU2K,276154329,VOLKSWAGEN,E-GOLF,2019
1N4BZ1CP7K,104330740,NISSAN,LEAF,2019
KNDJX3AE6G,234619542,KIA,SOUL,2016
1N4AZ0CP7E,271817794,NISSAN,LEAF,2014
5YJSA1CN1D,131932041,TESLA,MODEL S,2013
1FADP3R42H,281094929,FORD,FOCUS,2017
JN1AZ0CP6B,229292024,NISSAN,LEAF,2011
1N4AZ1CPXJ,250511173,NISSAN,LEAF,2018
5UX43EU06S,269641277,BMW,X5,2025
JN1AZ0CPXC,342767113,NISSAN,LEAF,2012
5YJSA1E27L,109775214,TESLA,MODEL S,2020
1G1RD6E49C,230648246,CHEVROLET,VOLT,2012
KNDCS3LF2R,267261396,KIA,NIRO,2024
1N4AZ0CP0F,186291850,NISSAN,LEAF,2015
JTMFB3FV3P,233586426,TOYOTA,RAV4 PRIME (PHEV),2023
JN1AZ0CP4C,261784841,NISSAN,LEAF,2012
1N4AZ1CP6K,177641656,NISSAN,LEAF,2019
5YJXCBE2XG,187536912,TESLA,MODEL X,2016
1N4BZ0CP0G,201957066,NISSAN,LEAF,2016
5YJ3E1EB5J,103819677,TESLA,MODEL 3,2018
1N4AZ1CP3L,255200641,NISSAN,LEAF,2020
LPSED3KA9M,177987680,POLESTAR,PS2,2021
1N4AZ0CP7D,138680587,NISSAN,LEAF,2013
3C3CFFGEXD,139686074,FIAT,500,2013
1N4AZ0CPXD,194313752,NISSAN,LEAF,2013
WBY1Z6C3XH,202396757,BMW,I3,2017
5YJ3E1EB9K,224646383,TESLA,MODEL 3,2019
KNDCR3LF1P,252546759,KIA,NIRO,2023
1N4AZ0CP3G,252209009,NISSAN,LEAF,2016
5YJSA1E27F,104654952,TESLA,MODEL S,2015
3C3CFFGE3D,208685060,FIAT,500,2013
5YJ3E1EB7J,125907120,TESLA,MODEL 3,2018
JN1AZ0CP6B,116419614,NISSAN,LEAF,2011
WA1VAAGE4K,476860366,AUDI,E-TRON,2019
YV4H60RM1S,281061189,VOLVO,XC60,2025
KNDPYDAH5P,253792269,KIA,SPORTAGE,2023
5UXTA6C08M,136779569,BMW,X5,2021
5YJSA1E20J,476611642,TESLA,MODEL S,2018
1G1RD6E47E,168860184,CHEVROLET,VOLT,2014
1N4AZ0CP3F,213260638,NISSAN,LEAF,2015
5UXTA6C09M,138597924,BMW,X5,2021
1N4BZ1CPXL,264412991,NISSAN,LEAF,2020
1N4BZ0CP9H,201287901,NISSAN,LEAF,2017
WBY7Z6C50J,198721162,BMW,I3,2018
5YJ3E1EA6J,122119238,TESLA,MODEL 3,2018
KNDCC3LG3K,4652735,KIA,NIRO,2019
5YJ3E1EB3L,272011953,TESLA,MODEL 3,2020
5YJ3E1EBXJ,272562783,TESLA,MODEL 3,2018
5YJ3E1EA1J,210095987,TESLA,MODEL 3,2018
KNDCS3LFXP,241655368,KIA,NIRO,2023
KM8S6DA20N,198620565,HYUNDAI,SANTA FE,2022
KNDPYDDH0R,276678888,KIA,SPORTAGE,2024
5YJSA1E16F,111007900,TESLA,MODEL S,2015
1N4AZ0CP5E,8368783,NISSAN,LEAF,2014
1N4AZ0CP5D,162158195,NISSAN,LEAF,2013
3C3CFFGE1G,294762219,FIAT,500,2016
1G1FW6S06L,260335820,CHEVROLET,BOLT EV,2020
5YJ3E1EB1J,438776019,TESLA,MODEL 3,2018
JN1AZ0CP6B,111417505,NISSAN,LEAF,2011
1G1FW6S06H,106071241,CHEVROLET,BOLT EV,2017
WA1LAAGE4K,238831708,AUDI,E-TRON,2019
1G1RD6E44F,272608262,CHEVROLET,VOLT,2015
KM8JBDD29R,277759555,HYUNDAI,TUCSON,2024
5YJYGDEF0L,107562087,TESLA,MODEL Y,2020
5YJ3E1EB3J,230880996,TESLA,MODEL 3,2018
1G1RE6E46E,202278982,CHEVROLET,VOLT,2014
5YJSA1E28L,4591254,TESLA,MODEL S,2020
WBY1Z4C53E,238994164,BMW,I3,2014
5YJ3E1EA0L,135230910,TESLA,MODEL 3,2020
5YJSA1E44G,254406001,TESLA,MODEL S,2016
YV4H600N8P,258650276,VOLVO,XC90,2023
5YJXCDE2XH,8986372,TESLA,MODEL X,2017
5YJSA1H22F,208483796,TESLA,MODEL S,2015
5YJSA1CP8D,241115927,TESLA,MODEL S,2013
1FMCU0E11S,279875739,FORD,ESCAPE,2025
KNDPYDDH3R,272310356,KIA,SPORTAGE,2024
5YJ3E1EB9J,476137875,TESLA,MODEL 3,2018
1G1FW6S08H,172524103,CHEVROLET,BOLT EV,2017
5YJ3E1EB6J,474312044,TESLA,MODEL 3,2018
WBY1Z2C57E,257854635,BMW,I3,2014
1N4AZ0CP3E,214725241,NISSAN,LEAF,2014
1N4BZ1DP2L,133855970,NISSAN,LEAF,2020
5YJSA1H25E,104625104,TESLA,MODEL S,2014
5YJ3E1EA6K,476989054,TESLA,MODEL 3,2019
5UXTA6C08P,228462139,BMW,X5,2023
5YJ3E1EB4K,220882455,TESLA,MODEL 3,2019
5YJ3E1EA1J,182432071,TESLA,MODEL 3,2018
5YJ3E1EA2K,256997625,TESLA,MODEL 3,2019
5YJ3E1EB3L,103623201,TESLA,MODEL 3,2020
5YJ3E1EB2J,474264031,TESLA,MODEL 3,2018
1G1RC6S58K,197295668,CHEVROLET,VOLT,2019
5UX43EU02R,253764521,BMW,X5,2024
5YJYGDEE2L,274159945,TESLA,MODEL Y,2020
5YJSA1E29G,124774184,TESLA,MODEL S,2016
5YJSA1E20H,266686206,TESLA,MODEL S,2017
KNDCR3LF8P,224343227,KIA,NIRO,2023
5YJXCBE21J,350094454,TESLA,MODEL X,2018
5UX43EU01S,280224591,BMW,X5,2025
5YJ3E1EB3L,271592604,TESLA,MODEL 3,2020
1N4AZ0CP0G,119848158,NISSAN,LEAF,2016
KNDJP3AE4G,6037027,KIA,SOUL,2016
JTJCJMGA6R,272537289,LEXUS,RX,2024
1G1FZ6S09L,150388745,CHEVROLET,BOLT EV,2020
5YJ3E1EA2K,267648762,TESLA,MODEL 3,2019
2C4RC1N73P,265702174,CHRYSLER,PACIFICA,2023
WMEEJ9AA3G,6051475,SMART,FORTWO,2016
5UXTA6C04N,278227561,BMW,X5,2022
1N4AZ0CP2E,101244727,NISSAN,LEAF,2014
1G1FY6S00L,145629662,CHEVROLET,BOLT EV,2020
1N4BZ1CP3K,113148129,NISSAN,LEAF,2019
YV4H60DJ9R,262565012,VOLVO,XC60,2024
1N4AZ0CP4D,133798493,NISSAN,LEAF,2013
JHMZC5F31J,157300825,HONDA,CLARITY,2018
1G1RG6E4XD,231919075,CHEVROLET,VOLT,2013
2C4RC1N72K,297080570,CHRYSLER,PACIFICA,2019
LPSED3KA3M,259099291,POLESTAR,PS2,2021
2C4RC1N78S,281456990,CHRYSLER,PACIFICA,2025
5YJSA1H46F,114294743,TESLA,MODEL S,2015
5YJSA1H26F,134816349,TESLA,MODEL S,2015
1G1FZ6S09K,475172379,CHEVROLET,BOLT EV,2019
5YJ3E1EB5J,249409800,TESLA,MODEL 3,2018
5YJXCBE28J,336273542,TESLA,MODEL X,2018
1N4AZ0CPXD,198259946,NISSAN,LEAF,2013
5YJXCAE24H,348752414,TESLA,MODEL X,2017
1N4BZ0CP5G,262212856,NISSAN,LEAF,2016
5YJSA1E24H,262612437,TESLA,MODEL S,2017
1N4AZ0CP0D,127796658,NISSAN,LEAF,2013
JTMAB3FV9N,203170243,TOYOTA,RAV4 PRIME (PHEV),2022
WA12AAGE7M,138385957,AUDI,E-TRON SPORTBACK,2021
WBA13FK00S,273936589,BMW,550E,2025
5YJ3E1EA1K,476885062,TESLA,MODEL 3,2019
5YJSA1H17E,213706790,TESLA,MODEL S,2014
KM8K33AG7K,237837414,HYUNDAI,KONA,2019
5YJ3E1EA3K,198354481,TESLA,MODEL 3,2019
1N4AZ1CP1L,263139635,NISSAN,LEAF,2020
JTMCB3FV4N,204998895,TOYOTA,RAV4 PRIME (PHEV),2022
1N4AZ0CPXD,7199531,NISSAN,LEAF,2013
YV4H60DZ9N,199099449,VOLVO,XC60,2022
5YJ3E1EB1J,474641905,TESLA,MODEL 3,2018
JN1AZ0CP7C,181283714,NISSAN,LEAF,2012
1N4AZ0CP8F,120384197,NISSAN,LEAF,2015
1G1FZ6S00K,253573960,CHEVROLET,BOLT EV,2019
2C4RC1S7XM,144912995,CHRYSLER,PACIFICA,2021
YV4H60DL2P,265010161,VOLVO,XC60,2023
SAL119F49R,273243141,LAND ROVER,RANGE ROVER SPORT,2024
KNDRMDLH3P,251099782,KIA,SORENTO,2023
1N4AZ1CP6J,342441578,NISSAN,LEAF,2018
5YJ3E1EA6J,275534297,TESLA,MODEL 3,2018
JTMFB3FV1R,262899528,TOYOTA,RAV4 PRIME (PHEV),2024
JTMEB3FV0P,278910873,TOYOTA,RAV4 PRIME (PHEV),2023
JTMAB3FVXP,257098173,TOYOTA,RAV4 PRIME (PHEV),2023
1G1FX6S06H,277033886,CHEVROLET,BOLT EV,2017
1N4AZ0CP0G,349379929,NISSAN,LEAF,2016
KNDRJDJHXS,272697302,KIA,SORENTO,2025
1G1RA6S51H,202296335,CHEVROLET,VOLT,2017
5YJXCBE24L,257128364,TESLA,MODEL X,2020
KNDJX3AE5G,211688172,KIA,SOUL,2016
5YJYGDEE8L,118127075,TESLA,MODEL Y,2020
5YJSA1E2XG,264575874,TESLA,MODEL S,2016
1N4AZ0CP0G,132517206,NISSAN,LEAF,2016
5YJ3E1EA7L,228444730,TESLA,MODEL 3,2020
2C4RC1S73P,236551073,CHRYSLER,PACIFICA,2023
5YJ3E1EB1J,475411821,TESLA,MODEL 3,2018
5YJRE11BX8,280101398,TESLA,ROADSTER,2008
1G1RB6E41C,267276817,CHEVROLET,VOLT,2012
1N4BZ0CP4H,349801931,NISSAN,LEAF,2017
5YJ3E1EB4J,156857522,TESLA,MODEL 3,2018
2C4RC1L71N,257544339,CHRYSLER,PACIFICA,2022
5YJ3E1EA0K,307982755,TESLA,MODEL 3,2019
1N4AZ1CP4K,192375795,NISSAN,LEAF,2019
1G1FW6S03J,104911474,CHEVROLET,BOLT EV,2018
1N4BZ0CP9H,100896897,NISSAN,LEAF,2017
WVWKR7AU3H,210261719,VOLKSWAGEN,E-GOLF,2017
WBY1Z4C58E,106950455,BMW,I3,2014
JA4T5UA91P,240380080,MITSUBISHI,OUTLANDER,2023
5YJ3E1EB7J,206970004,TESLA,MODEL 3,2018
5YJYGDEE7L,110798908,TESLA,MODEL Y,2020
2C4RC1S73M,156782272,CHRYSLER,PACIFICA,2021
JTMEB3FV7R,274078360,TOYOTA,RAV4 PRIME (PHEV),2024
5YJ3E1EA5J,345648341,TESLA,MODEL 3,2018
5UXTA6C09P,235249262,BMW,X5,2023
1N4BZ1DP6L,265628870,NISSAN,LEAF,2020
1G1RF6E44D,239004447,CHEVROLET,VOLT,2013
KNDRJDLHXN,193658531,KIA,SORENTO,2022
5YJSA1E12G,166091110,TESLA,MODEL S,2016
1G1FX6S0XH,124115932,CHEVROLET,BOLT EV,2017
1G1RB6S54J,152549372,CHEVROLET,VOLT,2018
1N4AZ0CP1D,220945448,NISSAN,LEAF,2013
3C3CFFGE6E,266435151,FIAT,500,2014
KNDCC3LG1K,234943243,KIA,NIRO,2019
1G1FX6S09L,277735083,CHEVROLET,BOLT EV,2020
5YJSA1E24G,123911637,TESLA,MODEL S,2016
5YJ3E1EB0J,247827968,TESLA,MODEL 3,2018
WDDVP9AB7G,128664483,MERCEDES-BENZ,B-CLASS,2016
KNDRJDJH9S,280663582,KIA,SORENTO,2025
1N4BZ0CP8H,102635711,NISSAN,LEAF,2017
5YJ3E1EB4K,190212991,TESLA,MODEL 3,2019
JTJHKCFZ4R,260219291,LEXUS,NX,2024
5UX43EU03R,262146699,BMW,X5,2024
2C4RC1N71P,252475926,CHRYSLER,PACIFICA,2023
5YJ3E1EB0K,103224222,TESLA,MODEL 3,2019
W1KLF6DB5S,278147509,MERCEDES-BENZ,E-CLASS,2025
5YJ3E1EBXJ,142000463,TESLA,MODEL 3,2018
JTMFB3FV9R,274055813,TOYOTA,RAV4 PRIME (PHEV),2024
5YJ3E1EA9K,475746813,TESLA,MODEL 3,2019
1N4AZ0CP4F,101637833,NISSAN,LEAF,2015
5YJSA1E29L,108817397,TESLA,MODEL S,2020
1G1RA6S55J,476337893,CHEVROLET,VOLT,2018
3C3CFFGE8F,281143747,FIAT,500,2015
5YJ3E1EBXK,328772755,TESLA,MODEL 3,2019
5YJ3E1EB3L,152532803,TESLA,MODEL 3,2020
1G1RH6E43E,200657110,CHEVROLET,VOLT,2014
5YJYGDEE5L,114454553,TESLA,MODEL Y,2020
1N4BZ0CP3H,176236700,NISSAN,LEAF,2017
5YJ3E1EB2J,476008095,TESLA,MODEL 3,2018
5YJ3E1EBXK,477309682,TESLA,MODEL 3,2019
KNDRJDLHXN,213485576,KIA,SORENTO,2022
1G1FZ6S07L,280133339,CHEVROLET,BOLT EV,2020
1N4BZ1CP7K,160954965,NISSAN,LEAF,2019
KM8JFDA21N,230810898,HYUNDAI,TUCSON,2022
3C3CFFGE7F,131383402,FIAT,500,2015
1N4AZ0CP5G,158497993,NISSAN,LEAF,2016
WBA13FK02S,281147653,BMW,550E,2025
KNDPZDDH2S,276645309,KIA,SPORTAGE,2025
5YJSA1E29J,101788872,TESLA,MODEL S,2018
1G1RC6E48F,289353662,CHEVROLET,VOLT,2015
1G1RC6S51J,273466847,CHEVROLET,VOLT,2018
5YJXCAE46K,252676063,TESLA,MODEL X,2019
JTJHKCFZ8P,236403296,LEXUS,NX,2023
1N4AZ1CP6J,207755775,NISSAN,LEAF,2018
WA1VABGE6K,109791755,AUDI,E-TRON,2019
5YJYGDEE8L,110868908,TESLA,MODEL Y,2020
1G1FW6S04H,259136083,CHEVROLET,BOLT EV,2017
5YJSA1E27G,349603054,TESLA,MODEL S,2016
WBY1Z4C52F,212390216,BMW,I3,2015
5YJSA1E26J,221047585,TESLA,MODEL S,2018
YV4H60CE0R,271761213,VOLVO,XC90,2024
5YJYGDEE4L,185901453,TESLA,MODEL Y,2020
KNDRMDJH1S,272889837,KIA,SORENTO,2025
2C4RC1S75P,261937196,CHRYSLER,PACIFICA,2023
1N4AZ0CP3D,146512131,NISSAN,LEAF,2013
JTMEB3FVXR,263053724,TOYOTA,RAV4 PRIME (PHEV),2024
KMHC05LH4K,478553316,HYUNDAI,IONIQ,2019
5YJSA1H20F,254539393,TESLA,MODEL S,2015
YV4H60CL0N,199025648,VOLVO,XC90,2022
5YJ3E1EA2J,325017892,TESLA,MODEL 3,2018
5YJ3E1EA5J,187631573,TESLA,MODEL 3,2018
1N4AZ0CP9F,289313363,NISSAN,LEAF,2015
5YJ3E1EC7L,3188972,TESLA,MODEL 3,2020
YV4H60DL5R,259060938,VOLVO,XC60,2024
W1NKM5GB1S,276537544,MERCEDES-BENZ,GLC-CLASS,2025
1G1FW6S09H,107903981,CHEVROLET,BOLT EV,2017
5UXTA6C01M,253554976,BMW,X5,2021
WBY1Z4C50E,249571941,BMW,I3,2014
1N4AZ0CP6G,133492579,NISSAN,LEAF,2016
5YJXCAE29L,2042435,TESLA,MODEL X,2020
1FMCU0E15R,261758010,FORD,ESCAPE,2024
5UXTA6C08N,186093869,BMW,X5,2022
1G1RC6S58H,186165745,CHEVROLET,VOLT,2017
JTMFB3FV9R,262473515,TOYOTA,RAV4 PRIME (PHEV),2024
1N4AZ0CP2F,208950304,NISSAN,LEAF,2015
KNDPYDDH5R,270131767,KIA,SPORTAGE,2024
1N4AZ1CP4J,275226843,NISSAN,LEAF,2018
JHMZC5F30J,254914551,HONDA,CLARITY,2018
5YJXCDE27L,2165950,TESLA,MODEL X,2020
5YJ3E1EB5J,119547242,TESLA,MODEL 3,2018
3C3CFFGE9H,144927121,FIAT,500,2017
5YJ3E1EB6J,475503871,TESLA,MODEL 3,2018
1N4AZ0CP8F,198626592,NISSAN,LEAF,2015
1G1FZ6S03L,256382948,CHEVROLET,BOLT EV,2020
JTJCJMGA2R,261307420,LEXUS,RX,2024
5YJ3E1EB2K,170400849,TESLA,MODEL 3,2019
1G1RA6S5XH,192551614,CHEVROLET,VOLT,2017
JTMAB3FV2R,270489292,TOYOTA,RAV4 PRIME (PHEV),2024
5YJ3E1EC1L,106270895,TESLA,MODEL 3,2020
WVWKP7AU4G,326247757,VOLKSWAGEN,E-GOLF,2016
1N4AZ1CP0J,322325300,NISSAN,LEAF,2018
JTMAB3FV3P,256115212,TOYOTA,RAV4 PRIME (PHEV),2023
1G1RB6E40D,183503197,CHEVROLET,VOLT,2013
JTMAB3FV3S,276774494,TOYOTA,RAV4 PRIME (PHEV),2025
1N4AZ1CP7L,102976548,NISSAN,LEAF,2020
5YJ3E1EA5J,290748118,TESLA,MODEL 3,2018
5YJ3E1EAXH,280487154,TESLA,MODEL 3,2017
JTMAB3FV9N,228430520,TOYOTA,RAV4 PRIME (PHEV),2022
WBY1Z4C5XF,221335222,BMW,I3,2015
1N4AZ0CP3D,226324353,NISSAN,LEAF,2013
3C3CFFGE1E,6348352,FIAT,500,2014
3C3CFFGE6F,114138384,FIAT,500,2015
2C4RC1L72P,267054588,CHRYSLER,PACIFICA,2023
5YJXCAE2XH,304527541,TESLA,MODEL X,2017
5YJ3E1EB6J,213030597,TESLA,MODEL 3,2018
5YJ3E1EB7K,190072823,TESLA,MODEL 3,2019
1G1RB6S54J,348460101,CHEVROLET,VOLT,2018
JTJCJMGA0R,274340524,LEXUS,RX,2024
1N4BZ1CP4K,243974069,NISSAN,LEAF,2019
WVWKR7AU8K,124513987,VOLKSWAGEN,E-GOLF,2019
5YJ3E1EB3L,6244479,TESLA,MODEL 3,2020
5YJXCBE46G,1720295,TESLA,MODEL X,2016
WBY1Z2C50E,245013450,BMW,I3,2014
5YJ3E1EA8L,233630134,TESLA,MODEL 3,2020
YV4H60DM3R,261140232,VOLVO,XC60,2024
5YJ3E1EB0J,267865461,TESLA,MODEL 3,2018
SADHB2S17L,120350212,JAGUAR,I-PACE,2020
5YJXCBE27J,475741409,TESLA,MODEL X,2018
SAL119F46R,262467796,LAND ROVER,RANGE ROVER SPORT,2024
5YJXCDE2XL,3516915,TESLA,MODEL X,2020
YV1H60EP2R,267259793,VOLVO,V60,2024
5YJSA1H20F,210245003,TESLA,MODEL S,2015
1N4AZ0CP4E,182508224,NISSAN,LEAF,2014
JHMZC5F3XJ,175343843,HONDA,CLARITY,2018
5YJ3E1EA4K,170417873,TESLA,MODEL 3,2019
KNDCE3LG2K,8188813,KIA,NIRO,2019
JTDACACU5R,272077550,TOYOTA,PRIUS PRIME (PHEV),2024
3C3CFFGEXJ,195164994,FIAT,500,2018
1G1RB6S54J,201187941,CHEVROLET,VOLT,2018
1N4BZ1CP8K,255692349,NISSAN,LEAF,2019
5YJXCDE26H,256166200,TESLA,MODEL X,2017
4JGFB4GB8S,278412879,MERCEDES-BENZ,GLE-CLASS,2025
5UX43EU04S,277065288,BMW,X5,2025
5YJ3E1EB2J,276588259,TESLA,MODEL 3,2018
5YJ3E1EB6J,476596270,TESLA,MODEL 3,2018
5YJ3E1EA6L,3304318,TESLA,MODEL 3,2020
1G1RC6S53H,253252016,CHEVROLET,VOLT,2017
5YJ3E1EA4L,127110259,TESLA,MODEL 3,2020
WBY8P4C03L,131313129,BMW,I3,2020
5YJSA1E20L,6312883,TESLA,MODEL S,2020
5YJ3E1EAXJ,172118082,TESLA,MODEL 3,2018
WMEEJ9AA6D,216583902,SMART,FORTWO ELECTRIC DRIVE,2013
1G1RD6E45E,206817971,CHEVROLET,VOLT,2014
2C4RC1N75M,192401002,CHRYSLER,PACIFICA,2021
1N4AZ0CP5D,229176755,NISSAN,LEAF,2013
SADHD2S15K,3120092,JAGUAR,I-PACE,2019
1N4AZ0CP3D,4116388,NISSAN,LEAF,2013
5YJ3E1EA3J,312944656,TESLA,MODEL 3,2018
KNDPZDAH9P,256290548,KIA,SPORTAGE,2023
5YJ3E1EA6J,2039222,TESLA,MODEL 3,2018
1N4AZ1CP6K,279232096,NISSAN,LEAF,2019
5YJSA4H23F,182788021,TESLA,MODEL S,2015
KNDCE3LG1L,156683831,KIA,NIRO,2020
5YJ3E1EA8K,272263799,TESLA,MODEL 3,2019
YV4H60CF3R,269965041,VOLVO,XC90,2024
